product_name,brand,star_rating,MRP(in rs),sale_price(in rs),Quantity,amount,transaction_Id,transaction date,User_ID,Cust_name,Gender,Age,recency,frequency,monetary
Quechua MH120 Hiking Fleece Men's,Quechua,4.5,2510.4628999999995,2510.4628999999995,3,7531.388699999999,156786,2022-06-04,1004505,Daniels,F,55,194,2,14226.514499999997
Domyos 100 Cardio Workout T-Shirt Women's,Domyos,4.6,836.2629,836.2629,1,836.2629,156787,2022-06-05,1004957,Inderpreet,M,27,536,2,3346.7257999999993
Women's breathable short-sleeved running T-shirt Dry - coral,Kalenji,4.6,919.9729,919.9729,2,1839.9458,156788,2022-06-06,1005649,Sweta,M,20,602,1,1839.9458
Women's Fitness Slim-Fit Shorts 500 - Black,Domyos,4.6,836.2629,836.2629,1,836.2629,156789,2022-06-07,1004508,Phonely,F,32,601,1,836.2629
Trek 500 Stretch Backpacking Gloves,Forclaz,4.4,1673.3628999999999,1673.3628999999999,2,3346.7257999999997,156790,2022-06-08,1002520,Mike,M,72,600,1,3346.7257999999997
Forclaz Trek500 Anti-UV Hiking Hat Women's,Forclaz,4.6,1673.3628999999999,1088.23,2,2176.46,156791,2022-06-09,1003111,Dean,F,25,182,2,5943.41
Forclaz Trek 100 Fleece Hiking Tights Women's,Forclaz,4.5,1254.8129,1254.8129,3,3764.4386999999997,156792,2022-06-10,1000687,Neola,M,35,469,2,5773.4787
Nyamba 500 Regular Gym T-Shirt Women's,Domyos,4.6,1087.3928999999998,1087.3928999999998,1,1087.3928999999998,156793,2022-06-11,1003267,Trupti,M,30,597,1,1087.3928999999998
Forclaz Trek 500 Long Sleeved Merino Wool Hiking T-Shirt Men's,Forclaz,4.6,5858.862899999999,5858.862899999999,3,17576.588699999997,156794,2022-06-12,1001182,Zypern,M,16,596,1,17576.588699999997
Men's Mountain Trekking Durable 2-in-1 Zip-Off Trousers MT100,Forclaz,4.4,3347.5629,3347.5629,3,10042.688699999999,156795,2022-06-13,1005383,Ellison,F,40,595,1,10042.688699999999
Women's Fitness T-Shirt 100 - White,Domyos,4.5,836.2629,836.2629,3,2508.7887,156796,2022-06-14,1004303,Jane,F,35,594,1,2508.7887
Breathable Running Boxers Men's,Kalenji,4.4,752.5528999999999,752.5528999999999,1,752.5528999999999,156797,2022-06-15,1005493,Stewart,M,45,593,1,752.5528999999999
Women's Mountain Walking Short-Sleeved T-Shirt MH100,Quechua,4.6,1087.3928999999998,1087.3928999999998,1,1087.3928999999998,156798,2022-06-16,1000728,Breyer,F,28,592,1,1087.3928999999998
Forclaz Men's MT100 Hooded Synthetic Puffer Jacket,Forclaz,4.5,5021.7629,5021.7629,2,10043.5258,156799,2022-06-17,1002966,Jesslyn,M,32,591,1,10043.5258
Nyamba 100 Crew Neck Fitness Sweatshirt Women's,Domyos,4.6,1254.8129,837.0999999999999,3,2511.2999999999997,156800,2022-06-18,1001726,Abhijit,F,32,590,1,2511.2999999999997
Light Support Fitness Sports Bra 100 - Mottled Grey,Domyos,4.5,1003.6828999999999,1003.6828999999999,2,2007.3657999999998,156801,2022-06-19,1001404,Vineet,F,53,589,1,2007.3657999999998
Domyos Women's High Waist Fitted Fitness Shorts,Domyos,4.5,836.2629,836.2629,2,1672.5258,156802,2022-06-20,1005267,Elizabeth,F,43,588,1,1672.5258
Van Rysel Summer Training Cycling Base Layer Men's,Decathlon,4.6,2091.9129,2091.9129,1,2091.9129,156803,2022-06-21,1003745,Shivani,M,29,587,1,2091.9129
Men's Running Breathable Long Tights Dry - black,Kalenji,4.4,1840.7828999999997,1840.7828999999997,1,1840.7828999999997,156804,2022-06-22,1001884,Eugene,F,47,342,2,16906.908699999996
Fitness Leggings with Phone Pocket,Domyos,4.7,1924.4928999999997,1924.4928999999997,1,1924.4928999999997,156805,2022-06-23,1001804,Ishit,F,35,585,1,1924.4928999999997
Adult Football Shirt Essential - Blue,Kipsta,4.5,836.2629,836.2629,3,2508.7887,156806,2022-06-24,1005359,Schwarz,F,22,584,1,2508.7887
Quechua MH100 Hiking Shorts Men's,Quechua,4.5,1254.8129,1254.8129,3,3764.4386999999997,156807,2022-06-25,1000151,Sujay,M,34,583,1,3764.4386999999997
Domyos Essentials Men's Breathable Joggers,Domyos,4.6,2091.9129,2091.9129,3,6275.7387,156808,2022-06-26,1001389,Smriti,F,33,582,1,6275.7387
Women's Straight-Cut Fitness Leggings Fit+ 500 - Black,Domyos,4.5,1673.3628999999999,1673.3628999999999,1,1673.3628999999999,156809,2022-06-27,1002665,Champaklata,F,36,581,1,1673.3628999999999
Women's Windproof and Water-repellent Hiking Jacket - Raincut 1/2 Zip,Quechua,4.5,1422.2328999999997,1422.2328999999997,3,4266.698699999999,156810,2022-06-28,1002496,Patil,F,52,580,1,4266.698699999999
Women's Long-Sleeved Fitness T-Shirt 100 - Black,Domyos,4.6,836.2629,836.2629,2,1672.5258,156811,2022-06-29,1001442,Atharv,M,18,579,1,1672.5258
Domyos Fit+ 500 Regular-Fit Shorts Women's,Domyos,4.6,1087.3928999999998,837.0999999999999,2,1674.1999999999998,156812,2022-06-30,1000379,Thais,M,39,578,1,1674.1999999999998
Quechua Men's MH500 Hiking Fleece,Quechua,4.5,2929.0129,2929.0129,1,2929.0129,156813,2022-07-01,1003916,Surabhi,M,34,577,1,2929.0129
Forclaz Trek 500 Merino Wool Tights Backpacking Undergarment Mens',Forclaz,4.5,5440.312899999999,5440.312899999999,2,10880.625799999998,156814,2022-07-02,1001687,Bruce,F,33,576,1,10880.625799999998
Women's Short-Sleeved Merino Wool Trekking Travel T-Shirt - TRAVEL 100 Purple,Forclaz,4.6,3347.5629,3347.5629,1,3347.5629,156815,2022-07-03,1000423,Saurabh,M,21,575,1,3347.5629
Forclaz Women's MT100 Hooded Down Puffer Jacket,Forclaz,4.5,7533.062899999999,7533.062899999999,2,15066.125799999998,156816,2022-07-04,1002395,Vaibhavi,F,38,574,1,15066.125799999998
Men's sturdy mountain backpacking pantss - MT500,Forclaz,4.6,4184.6629,4184.6629,1,4184.6629,156817,2022-07-05,1004728,Larry,F,28,573,1,4184.6629
Triban Essential Moisture-Wicking Short Sleeved Road Cycling Jersey Men's,Triban,4.5,1422.2328999999997,1422.2328999999997,3,4266.698699999999,156818,2022-07-06,1005054,Parhena,F,37,572,1,4266.698699999999
Mid-Height Running Socks Run500 Twin-Pack - White,Decathlon,4.5,668.8429,418.54999999999995,3,1255.6499999999999,156819,2022-07-07,1004489,Pete,M,20,571,1,1255.6499999999999
Men's Walking Trousers - Grey,Quechua,4.5,2091.9129,2091.9129,2,4183.8258,156820,2022-07-08,1001865,Cyra,M,23,570,1,4183.8258
Triban RC100 Cycling Rain Jacket Men's,Triban,4.4,2091.9129,2091.9129,1,2091.9129,156821,2022-07-09,1003022,Rozendal,F,34,569,1,2091.9129
Kalenji Run Dry+ Running T-Shirt Women's,Kalenji,4.6,1422.2328999999997,585.9699999999999,1,585.9699999999999,156822,2022-07-10,1001657,Jack,M,49,568,1,585.9699999999999
Kalenji Run Dry Running Shorts Women's,Kalenji,4.7,1171.1028999999999,1171.1028999999999,1,1171.1028999999999,156823,2022-07-11,1003751,Victor,M,38,567,1,1171.1028999999999
Travel 100 Travel Backpacking Cargo Pants Men's,Forclaz,4.5,5021.7629,5021.7629,2,10043.5258,156824,2022-07-12,1000179,Debra,F,30,566,1,10043.5258
Men's Regular Fitness T-Shirt Sportee - White,Domyos,4.4,836.2629,836.2629,3,2508.7887,156825,2022-07-13,1000438,Bhosale,F,25,565,1,2508.7887
Women's Fitness Cycling Shorts 500 - Black,Domyos,4.6,836.2629,836.2629,3,2508.7887,156826,2022-07-14,1003618,Keshav,M,19,107,3,7112.0016
Men's Warm Fitness Jogging Bottoms 100 - Black,Domyos,4.3,1422.2328999999997,1422.2328999999997,1,1422.2328999999997,156827,2022-07-15,1003415,Arsheen,M,42,563,1,1422.2328999999997
Forclaz Travel 500 Adjustable Hiking Shirt Men's,Forclaz,4.5,4184.6629,4184.6629,1,4184.6629,156828,2022-07-16,1002485,Kaydos,F,38,562,1,4184.6629
Women's Slim Fitness Jogging Bottoms 520 - Navy Blue,Domyos,4.5,2929.0129,1255.6499999999999,3,3766.95,156829,2022-07-17,1001495,Fjeld,F,21,561,1,3766.95
Quechua NH100 Fresh Hiking Shorts Men's,Quechua,4.6,1422.2328999999997,1422.2328999999997,2,2844.4657999999995,156830,2022-07-18,1004607,Turumella,M,35,560,1,2844.4657999999995
Forclaz Trek 500 Zip Long Sleeved Merino Wool Hiking T-Shirt Men's,Forclaz,4.6,6695.962899999999,6695.962899999999,1,6695.962899999999,156831,2022-07-19,1005316,Vernon,F,24,559,1,6695.962899999999
Horse Riding Gilet Paddock Warm,Fouganza,4.7,4184.6629,2511.2999999999997,2,5022.599999999999,156832,2022-07-20,1000461,Connell,M,52,558,1,5022.599999999999
Fitness Cardio Training Tank Top Women's,Domyos,4.6,836.2629,836.2629,3,2508.7887,156833,2022-07-21,1000154,Shami,F,53,557,1,2508.7887
MH140 Polarized Category 3 Hiking Sunglasses,Quechua,4.5,2510.4628999999995,2510.4628999999995,1,2510.4628999999995,156834,2022-07-22,1000749,Flanagan,F,37,556,1,2510.4628999999995
Kiprun Skincare Breathable Running T-Shirt Women's,Decathlon,4.6,2091.9129,2091.9129,2,4183.8258,156835,2022-07-23,1006040,Pond,F,28,383,2,19251.625799999998
Kipsta F100 Soccer Shorts Adult,Kipsta,4.5,836.2629,836.2629,2,1672.5258,156836,2022-07-24,1001284,O'Brian,M,50,266,2,2842.7915999999996
Forclaz Women's MT100 Hooded Synthetic Jacket,Forclaz,4.6,5021.7629,5021.7629,3,15065.2887,156837,2022-07-25,1004269,Namrata,F,40,553,1,15065.2887
Domyos 100 Fitness Cardio Training Loose-Fit Shorts Women's,Domyos,4.5,836.2629,836.2629,3,2508.7887,156838,2022-07-26,1001496,Haushalter,F,35,552,1,2508.7887
Men's Mountain Trekking Merino Wool Boxer Shorts MT500,Forclaz,4.3,2929.0129,2929.0129,1,2929.0129,156839,2022-07-27,1003007,Maurice,F,45,551,1,2929.0129
Windbreaker jacket - softshell - warm - MT500 - men's,Forclaz,4.5,6695.962899999999,6695.962899999999,1,6695.962899999999,156840,2022-07-28,1004715,Snel,F,35,550,1,6695.962899999999
Men's Hiking boots - NH100,Quechua,4.3,2091.9129,2091.9129,1,2091.9129,156841,2022-07-29,1000306,Patrick,F,18,549,1,2091.9129
Kids' Football Shorts Essential - Black,Kipsta,4.7,752.5528999999999,752.5528999999999,2,1505.1057999999998,156842,2022-07-30,1000855,Sung,M,22,548,1,1505.1057999999998
Nyamba 120 Zippered Fitness Hoodie Women's,Domyos,4.6,1673.3628999999999,1673.3628999999999,3,5020.088699999999,156843,2022-07-31,1001183,Mahima,F,43,111,2,11295.827399999998
Btwin 500 City Cycling Rain Overpants Adult,Btwin,4.5,3347.5629,3347.5629,3,10042.688699999999,156844,2022-08-01,1005954,Charlotte,F,48,546,1,10042.688699999999
Quechua MH100 Category 3 Hiking Sunglasses,Quechua,4.3,836.2629,836.2629,2,1672.5258,156845,2022-08-02,1005627,Anubhaw,M,28,545,1,1672.5258
Trek 100 Fleece Backpacking Gloves,Forclaz,4.5,1087.3928999999998,1087.3928999999998,3,3262.1786999999995,156846,2022-08-03,1002165,Black,F,31,544,1,3262.1786999999995
Forclaz Trek 900 Softshell Hiking Windbreaker Men's,Forclaz,4.5,5021.7629,5021.7629,2,10043.5258,156847,2022-08-04,1004416,Airdo,F,23,543,1,10043.5258
WOMEN'S TRAIL RUNNING BAGGY SHORTS - BLACK,Decathlon,4.5,3347.5629,3347.5629,2,6695.1258,156848,2022-08-05,1000850,Bhawna,F,44,101,4,19669.338699999997
Essential Running Bra Women's,Kalenji,4.4,1171.1028999999999,669.68,1,669.68,156849,2022-08-06,1002888,Corey-Lock,F,34,276,2,4017.2428999999997
Quechua MH100 Hiking Fleece Women's,Quechua,4.6,1673.3628999999999,1673.3628999999999,2,3346.7257999999997,156850,2022-08-07,1001891,Akin,F,46,540,1,3346.7257999999997
Triban 100 Cycling Rain Jacket Women's,Triban,4.6,2091.9129,1674.1999999999998,3,5022.599999999999,156851,2022-08-08,1001019,Neil,F,43,539,1,5022.599999999999
Men's  Regular Fitness T-Shirt Sportee - White,Domyos,4.4,836.2629,836.2629,1,836.2629,156852,2022-08-09,1002306,Lisha,M,21,538,1,836.2629
Kids Hiking Sunglasses Aged 4-8 - MH K140 - Category 3,Quechua,4.7,1254.8129,585.9699999999999,1,585.9699999999999,156853,2022-08-10,1001179,Amlan,M,54,537,1,585.9699999999999
Women's Slim Fitness Jogging Bottoms 500 - Black,Domyos,4.4,2510.4628999999995,2510.4628999999995,1,2510.4628999999995,156854,2022-08-11,1004957,Inderpreet,F,34,536,2,3346.7257999999993
Men's Seamless Ski Base Layer Bottom - BL 580 I-Soft - Black/Blue,Wedze,4.5,2929.0129,2929.0129,2,5858.0258,156855,2022-08-12,1004079,Fisher,F,44,535,1,5858.0258
Adult Mountain Trekking Silk Liner Gloves - MT 500 Black,Forclaz,4.3,1422.2328999999997,1422.2328999999997,3,4266.698699999999,156856,2022-08-13,1002124,Linda,F,29,534,1,4266.698699999999
Forclaz Men's MT100 Down Puffer Vest,Forclaz,4.6,5858.862899999999,5858.862899999999,3,17576.588699999997,156857,2022-08-14,1004335,Aryan,F,38,533,1,17576.588699999997
Travel 100 Hiking Pants Women's,Forclaz,4.4,3347.5629,3347.5629,2,6695.1258,156858,2022-08-15,1000280,Kajal,F,55,532,1,6695.1258
Quechua MH120 Fleece Hiking Jacket Men's,Quechua,4.5,2510.4628999999995,2510.4628999999995,2,5020.925799999999,156859,2022-08-16,1003311,Neola,F,26,129,5,15900.714499999998
Nyamba 510 Stretchy High-Waisted Cotton Fitness Leggings,Decathlon,4.7,2510.4628999999995,1674.1999999999998,2,3348.3999999999996,156860,2022-08-17,1004161,Murray,F,46,430,2,7533.0629
"Active Running Shoes, Men's",Kalenji,4.4,4184.6629,4184.6629,1,4184.6629,156861,2022-08-18,1005265,Sakshi,F,48,529,1,4184.6629
Travel 100 Backpacking Cargo Shorts Men's,Forclaz,4.6,4184.6629,4184.6629,3,12553.988700000002,156862,2022-08-19,1004285,Bhishm,M,38,82,3,18412.8516
Fitness Leggings with Phone Pocket (Plus Size),Domyos,4.6,1673.3628999999999,837.0999999999999,1,837.0999999999999,156863,2022-08-20,1005261,Apoorva,F,41,527,1,837.0999999999999
Men's Windproof and Water-repellent Hiking Jacket - Raincut Full Zip,Quechua,4.4,2091.9129,2091.9129,3,6275.7387,156864,2022-08-21,1000445,Sukruta,F,47,526,1,6275.7387
Arpenaz 40 L Hiking Rain Poncho,Forclaz,4.4,2510.4628999999995,2510.4628999999995,3,7531.388699999999,156865,2022-08-22,1003265,Arti,F,35,525,1,7531.388699999999
Domyos FTI100 Straight Cut Fitness Leggings Women's,Domyos,4.7,1254.8129,1254.8129,2,2509.6258,156866,2022-08-23,1003396,Akshay,F,31,524,1,2509.6258
Quechua Men's MH100 Rain Jacket,Quechua,4.6,5021.7629,5021.7629,1,5021.7629,156867,2022-08-24,1002380,Swati,F,26,523,1,5021.7629
Kipsta F100 Soccer Jersey Kids',Kipsta,4.6,752.5528999999999,752.5528999999999,1,752.5528999999999,156868,2022-08-25,1002059,Mathew,F,41,522,1,752.5528999999999
Triban 500 Road Cycling Gloves,Triban,4.5,1673.3628999999999,1673.3628999999999,1,1673.3628999999999,156869,2022-08-26,1001335,Kushal,F,42,521,1,1673.3628999999999
Men's Short-sleeved Merino Wool Trekking T-shirt - MT500,Forclaz,4.5,4184.6629,4184.6629,2,8369.3258,156870,2022-08-27,1004838,Luxemburg,F,49,520,1,8369.3258
Men's Gentle Yoga Shorts - Black,Decathlon,4.5,1673.3628999999999,1255.6499999999999,1,1255.6499999999999,156871,2022-08-28,1001015,Bharat,F,44,463,2,8787.0387
Kalenji Run Dry+ Running Shorts Men's,Kalenji,4.5,1673.3628999999999,1673.3628999999999,2,3346.7257999999997,156872,2022-08-29,1000549,Sharda,F,31,374,2,6695.1258
Triban 500 Padded Moisture-Wicking Cycling Bike Shorts Women's,Triban,4.3,3347.5629,1255.6499999999999,2,2511.2999999999997,156873,2022-08-30,1001954,Steele,M,31,517,1,2511.2999999999997
Breathable Athletic Hoodie Sweatshirt Men's,Domyos,4.7,2091.9129,2091.9129,3,6275.7387,156874,2022-08-31,1001912,Hazel,F,27,516,1,6275.7387
Quechua MH150 Convertible Hiking Pants Men's,Quechua,4.4,2929.0129,2929.0129,3,8787.038700000001,156875,2022-09-01,1003918,Shariari,F,32,515,1,8787.038700000001
Women's Fitness Cardio Cropped Bottoms - Black,Domyos,4.5,1254.8129,1254.8129,2,2509.6258,156876,2022-09-02,1001896,Brittain,M,66,514,1,2509.6258
Forclaz Travel 100 Compact 2 L Hiking Fanny Pack,Forclaz,4.5,836.2629,836.2629,1,836.2629,156877,2022-09-03,1002445,Shiva,F,28,513,1,836.2629
Women's Gym & Pilates Tank Top,Domyos,4.4,417.7129,417.7129,2,835.4258,156878,2022-09-04,1002279,Noah,F,52,512,1,835.4258
Women's Hiking Skort - NH500,Quechua,4.7,2510.4628999999995,2510.4628999999995,3,7531.388699999999,156879,2022-09-05,1002898,Kotsonis,F,19,511,1,7531.388699999999
Tarmak Intermediate Basketball Mid Socks Kids' 2 Pairs,Tarmak,4.5,1087.3928999999998,502.26,3,1506.78,156880,2022-09-06,1004277,Sanjay,F,45,212,2,3766.95
Outshock 500 Lightweight Flexible Boxing Shoes,Outshock,4.6,5021.7629,5021.7629,3,15065.2887,156881,2022-09-07,1003576,Alejandro,M,53,256,2,17576.5887
Olaian Isa X-Back One Piece Surf Swimsuit Women's,Olaian,4.6,3766.1129,3766.1129,1,3766.1129,156882,2022-09-08,1003724,Devendra,F,36,508,1,3766.1129
High Support Running Bra,Kalenji,4.6,2091.9129,2091.9129,1,2091.9129,156883,2022-09-09,1003384,Sujay,F,41,6,2,3347.5629
Women's Mountain Trekking 2-in-1 Zip-Off Trousers MT100 - grey,Forclaz,4.5,3347.5629,3347.5629,3,10042.688699999999,156884,2022-09-10,1003051,Moren,F,22,506,1,10042.688699999999
Trek 500 Seamless Backpacking Liner Gloves,Forclaz,4.4,836.2629,836.2629,1,836.2629,156885,2022-09-11,1003311,Neola,F,30,129,5,15900.714499999998
Women's 7/8 Fitness Leggings Fit+ 500 - Black,Domyos,4.5,1254.8129,837.0999999999999,3,2511.2999999999997,156886,2022-09-12,1004782,Philippe,M,46,504,1,2511.2999999999997
Dreamscape SNB PA 500 Snowboarding and Skiing Pants Women's,Decathlon,4.1,9961.49,6696.799999999999,2,13393.599999999999,156887,2022-09-13,1003998,Patterson,F,47,503,1,13393.599999999999
Evadict Trail Running Waterproof Jacket Men's,Decathlon,4.3,7533.062899999999,7533.062899999999,3,22599.1887,156888,2022-09-14,1000284,George,F,29,502,1,22599.1887
Women's Travel Trekking Waterproof 3-in-1 Jacket Travel 500 -8 degrees Celcius,Forclaz,4.6,12472.789999999999,12472.789999999999,3,37418.369999999995,156889,2022-09-15,1000509,Rohan,F,28,501,1,37418.369999999995
"Nyamba Sportee, Pure Cotton T-Shirt, Women's",Decathlon,4.5,501.42289999999997,251.13,2,502.26,156890,2022-09-16,1000838,Divyeshkumar,M,53,499,2,2508.7887
Men's Running Breathable Tank Top Dry - Black,Kalenji,4.6,668.8429,668.8429,3,2006.5286999999998,156891,2022-09-17,1000838,Divyeshkumar,M,53,499,2,2508.7887
Quechua NH100 Hiking Sandals Women's,Quechua,4.4,2091.9129,2091.9129,2,4183.8258,156892,2022-09-18,1002060,Lynn,M,15,498,1,4183.8258
Straight-Cut Fitness Tank Top,Domyos,4.7,836.2629,836.2629,1,836.2629,156893,2022-09-19,1000850,Bhawna,M,40,101,4,19669.338699999997
Women's Hiking Boots - NH100 Mid,Quechua,4.4,2929.0129,2929.0129,2,5858.0258,156894,2022-09-20,1005522,Mitch,F,35,496,1,5858.0258
Quechua NH100 Hiking Sandals Men's,Quechua,4.4,2091.9129,2091.9129,1,2091.9129,156895,2022-09-21,1005153,Ivan,F,33,495,1,2091.9129
Women's 2-in-1 Anti-Chafing Fitness Cardio Shorts - Black,Domyos,4.6,2091.9129,2091.9129,2,4183.8258,156896,2022-09-22,1002122,Avila,F,40,494,1,4183.8258
510 7/8 Short Stretchy Cotton Fitness Leggings Women's,Domyos,4.5,1254.8129,1254.8129,1,1254.8129,156897,2022-09-23,1000984,Ben,F,52,493,1,1254.8129
MT900 Backpacking Wind Jacket Women's,Forclaz,4.7,5021.7629,2511.2999999999997,2,5022.599999999999,156898,2022-09-24,1005220,Amlan,F,27,492,1,5022.599999999999
Triban Padded Road Cycling & Touring Bike Bib Shorts Men's,Triban,4.2,4184.6629,4184.6629,3,12553.988700000002,156899,2022-09-25,1001202,Diwakar,F,45,491,1,12553.988700000002
Kiprun Showerproof Light Running Jacket Men's,Decathlon,4.1,4603.2128999999995,4603.2128999999995,1,4603.2128999999995,156900,2022-09-26,1006014,Sharelle,F,48,490,1,4603.2128999999995
Zip Pocket Breathable Fitness Shorts Men's,Domyos,4.7,2091.9129,2091.9129,1,2091.9129,156901,2022-09-27,1005111,Amisha,F,38,489,1,2091.9129
"Inesis, Short Sleeve Golf Polo Shirt, Men's",Inesis,4.5,1254.8129,837.0999999999999,2,1674.1999999999998,156902,2022-09-28,1004227,William,F,33,29,2,5441.15
